segment_name,confidence_assessment,openface_dominant_emotion_approx,openface_emotion_scores,openface_au_means,openface_AU01_r,openface_AU02_r,openface_AU04_r,openface_AU05_r,openface_AU06_r,openface_AU07_r,openface_AU09_r,openface_AU10_r,openface_AU12_r,openface_AU14_r,openface_AU15_r,openface_AU17_r,openface_AU20_r,openface_AU23_r,openface_AU25_r,openface_AU26_r,openface_AU45_r,openface_happy,openface_surprised,openface_angry,openface_sad
eZj5n8ScTkI_seg008,2.0,sad,"{'AU01_r': 0.344, 'AU02_r': 0.155, 'AU04_r': 0.369, 'AU05_r': 0.098, 'AU06_r': 0.126, 'AU07_r': 0.108, 'AU09_r': 0.07, 'AU10_r': 0.56, 'AU12_r': 0.255, 'AU14_r': 0.201, 'AU15_r': 1.038, 'AU17_r': 1.037, 'AU20_r': 0.184, 'AU23_r': 0.19, 'AU25_r': 0.749, 'AU26_r': 0.714, 'AU45_r': 0.214}","{'happy': 0.255, 'surprised': 0.5, 'angry': 0.369, 'sad': 1.038}",0.344,0.155,0.369,0.098,0.126,0.108,0.07,0.56,0.255,0.201,1.038,1.037,0.184,0.19,0.749,0.714,0.214,0.255,0.5,0.369,1.038
eZj5n8ScTkI_seg009,3.0,sad,"{'AU01_r': 0.355, 'AU02_r': 0.102, 'AU04_r': 0.352, 'AU05_r': 0.072, 'AU06_r': 0.177, 'AU07_r': 0.115, 'AU09_r': 0.096, 'AU10_r': 0.386, 'AU12_r': 0.241, 'AU14_r': 0.224, 'AU15_r': 0.871, 'AU17_r': 1.2, 'AU20_r': 0.384, 'AU23_r': 0.308, 'AU25_r': 0.717, 'AU26_r': 0.7, 'AU45_r': 0.292}","{'happy': 0.241, 'surprised': 0.457, 'angry': 0.352, 'sad': 0.871}",0.355,0.102,0.352,0.072,0.177,0.115,0.096,0.386,0.241,0.224,0.871,1.2,0.384,0.308,0.717,0.7,0.292,0.241,0.457,0.352,0.871
eZj5n8ScTkI_seg010,3.0,sad,"{'AU01_r': 0.235, 'AU02_r': 0.153, 'AU04_r': 0.278, 'AU05_r': 0.038, 'AU06_r': 0.041, 'AU07_r': 0.15, 'AU09_r': 0.14, 'AU10_r': 0.145, 'AU12_r': 0.085, 'AU14_r': 0.077, 'AU15_r': 1.056, 'AU17_r': 1.582, 'AU20_r': 0.214, 'AU23_r': 0.317, 'AU25_r': 0.644, 'AU26_r': 1.024, 'AU45_r': 0.21}","{'happy': 0.085, 'surprised': 0.388, 'angry': 0.278, 'sad': 1.056}",0.235,0.153,0.278,0.038,0.041,0.15,0.14,0.145,0.085,0.077,1.056,1.582,0.214,0.317,0.644,1.024,0.21,0.085,0.388,0.278,1.056
eZj5n8ScTkI_seg012,2.0,sad,"{'AU01_r': 0.152, 'AU02_r': 0.091, 'AU04_r': 0.155, 'AU05_r': 0.063, 'AU06_r': 0.04, 'AU07_r': 0.083, 'AU09_r': 0.074, 'AU10_r': 0.14, 'AU12_r': 0.081, 'AU14_r': 0.116, 'AU15_r': 0.893, 'AU17_r': 0.911, 'AU20_r': 0.204, 'AU23_r': 0.205, 'AU25_r': 0.526, 'AU26_r': 0.733, 'AU45_r': 0.181}","{'happy': 0.081, 'surprised': 0.243, 'angry': 0.155, 'sad': 0.893}",0.152,0.091,0.155,0.063,0.04,0.083,0.074,0.14,0.081,0.116,0.893,0.911,0.204,0.205,0.526,0.733,0.181,0.081,0.243,0.155,0.893
eZj5n8ScTkI_seg013,3.0,sad,"{'AU01_r': 0.135, 'AU02_r': 0.062, 'AU04_r': 0.122, 'AU05_r': 0.021, 'AU06_r': 0.088, 'AU07_r': 0.11, 'AU09_r': 0.039, 'AU10_r': 0.128, 'AU12_r': 0.061, 'AU14_r': 0.09, 'AU15_r': 0.339, 'AU17_r': 0.421, 'AU20_r': 0.149, 'AU23_r': 0.09, 'AU25_r': 0.384, 'AU26_r': 0.259, 'AU45_r': 0.082}","{'happy': 0.061, 'surprised': 0.196, 'angry': 0.122, 'sad': 0.339}",0.135,0.062,0.122,0.021,0.088,0.11,0.039,0.128,0.061,0.09,0.339,0.421,0.149,0.09,0.384,0.259,0.082,0.061,0.196,0.122,0.339
eZj5n8ScTkI_seg014,3.0,surprised,"{'AU01_r': 0.633, 'AU02_r': 0.111, 'AU04_r': 0.561, 'AU05_r': 0.113, 'AU06_r': 0.089, 'AU07_r': 0.113, 'AU09_r': 0.098, 'AU10_r': 0.513, 'AU12_r': 0.225, 'AU14_r': 0.282, 'AU15_r': 0.699, 'AU17_r': 1.097, 'AU20_r': 0.134, 'AU23_r': 0.164, 'AU25_r': 0.664, 'AU26_r': 0.681, 'AU45_r': 0.233}","{'happy': 0.225, 'surprised': 0.744, 'angry': 0.561, 'sad': 0.699}",0.633,0.111,0.561,0.113,0.089,0.113,0.098,0.513,0.225,0.282,0.699,1.097,0.134,0.164,0.664,0.681,0.233,0.225,0.744,0.561,0.699
eZj5n8ScTkI_seg015,3.0,sad,"{'AU01_r': 0.236, 'AU02_r': 0.087, 'AU04_r': 0.298, 'AU05_r': 0.088, 'AU06_r': 0.108, 'AU07_r': 0.135, 'AU09_r': 0.092, 'AU10_r': 0.14, 'AU12_r': 0.082, 'AU14_r': 0.135, 'AU15_r': 1.194, 'AU17_r': 1.118, 'AU20_r': 0.284, 'AU23_r': 0.202, 'AU25_r': 0.856, 'AU26_r': 1.086, 'AU45_r': 0.317}","{'happy': 0.082, 'surprised': 0.323, 'angry': 0.298, 'sad': 1.194}",0.236,0.087,0.298,0.088,0.108,0.135,0.092,0.14,0.082,0.135,1.194,1.118,0.284,0.202,0.856,1.086,0.317,0.082,0.323,0.298,1.194
eZj5n8ScTkI_seg016,2.0,sad,"{'AU01_r': 0.473, 'AU02_r': 0.134, 'AU04_r': 0.426, 'AU05_r': 0.079, 'AU06_r': 0.078, 'AU07_r': 0.227, 'AU09_r': 0.105, 'AU10_r': 0.572, 'AU12_r': 0.14, 'AU14_r': 0.158, 'AU15_r': 0.775, 'AU17_r': 1.335, 'AU20_r': 0.163, 'AU23_r': 0.202, 'AU25_r': 0.966, 'AU26_r': 0.779, 'AU45_r': 0.234}","{'happy': 0.14, 'surprised': 0.607, 'angry': 0.426, 'sad': 0.775}",0.473,0.134,0.426,0.079,0.078,0.227,0.105,0.572,0.14,0.158,0.775,1.335,0.163,0.202,0.966,0.779,0.234,0.14,0.607,0.426,0.775
eZj5n8ScTkI_seg017,3.0,sad,"{'AU01_r': 0.575, 'AU02_r': 0.191, 'AU04_r': 0.679, 'AU05_r': 0.071, 'AU06_r': 0.185, 'AU07_r': 0.09, 'AU09_r': 0.086, 'AU10_r': 0.495, 'AU12_r': 0.166, 'AU14_r': 0.26, 'AU15_r': 1.119, 'AU17_r': 1.259, 'AU20_r': 0.197, 'AU23_r': 0.11, 'AU25_r': 0.924, 'AU26_r': 0.795, 'AU45_r': 0.265}","{'happy': 0.166, 'surprised': 0.765, 'angry': 0.679, 'sad': 1.119}",0.575,0.191,0.679,0.071,0.185,0.09,0.086,0.495,0.166,0.26,1.119,1.259,0.197,0.11,0.924,0.795,0.265,0.166,0.765,0.679,1.119
eZj5n8ScTkI_seg018,2.0,surprised,"{'AU01_r': 0.57, 'AU02_r': 0.168, 'AU04_r': 0.314, 'AU05_r': 0.086, 'AU06_r': 0.189, 'AU07_r': 0.295, 'AU09_r': 0.113, 'AU10_r': 0.51, 'AU12_r': 0.174, 'AU14_r': 0.171, 'AU15_r': 0.722, 'AU17_r': 1.165, 'AU20_r': 0.23, 'AU23_r': 0.194, 'AU25_r': 0.958, 'AU26_r': 0.791, 'AU45_r': 0.3}","{'happy': 0.174, 'surprised': 0.738, 'angry': 0.314, 'sad': 0.722}",0.57,0.168,0.314,0.086,0.189,0.295,0.113,0.51,0.174,0.171,0.722,1.165,0.23,0.194,0.958,0.791,0.3,0.174,0.738,0.314,0.722
eZj5n8ScTkI_seg022,3.0,sad,"{'AU01_r': 0.366, 'AU02_r': 0.109, 'AU04_r': 0.315, 'AU05_r': 0.068, 'AU06_r': 0.109, 'AU07_r': 0.116, 'AU09_r': 0.099, 'AU10_r': 0.522, 'AU12_r': 0.252, 'AU14_r': 0.339, 'AU15_r': 0.656, 'AU17_r': 0.878, 'AU20_r': 0.173, 'AU23_r': 0.236, 'AU25_r': 0.609, 'AU26_r': 0.704, 'AU45_r': 0.173}","{'happy': 0.252, 'surprised': 0.475, 'angry': 0.315, 'sad': 0.656}",0.366,0.109,0.315,0.068,0.109,0.116,0.099,0.522,0.252,0.339,0.656,0.878,0.173,0.236,0.609,0.704,0.173,0.252,0.475,0.315,0.656
eZj5n8ScTkI_seg023,3.0,sad,"{'AU01_r': 0.376, 'AU02_r': 0.121, 'AU04_r': 0.463, 'AU05_r': 0.095, 'AU06_r': 0.247, 'AU07_r': 0.302, 'AU09_r': 0.142, 'AU10_r': 0.28, 'AU12_r': 0.195, 'AU14_r': 0.25, 'AU15_r': 0.987, 'AU17_r': 1.314, 'AU20_r': 0.24, 'AU23_r': 0.251, 'AU25_r': 1.028, 'AU26_r': 1.043, 'AU45_r': 0.384}","{'happy': 0.195, 'surprised': 0.496, 'angry': 0.463, 'sad': 0.987}",0.376,0.121,0.463,0.095,0.247,0.302,0.142,0.28,0.195,0.25,0.987,1.314,0.24,0.251,1.028,1.043,0.384,0.195,0.496,0.463,0.987
eZj5n8ScTkI_seg024,4.0,sad,"{'AU01_r': 0.454, 'AU02_r': 0.243, 'AU04_r': 0.348, 'AU05_r': 0.107, 'AU06_r': 0.424, 'AU07_r': 0.624, 'AU09_r': 0.046, 'AU10_r': 1.243, 'AU12_r': 0.539, 'AU14_r': 1.016, 'AU15_r': 0.788, 'AU17_r': 1.153, 'AU20_r': 0.134, 'AU23_r': 0.196, 'AU25_r': 0.724, 'AU26_r': 0.87, 'AU45_r': 0.416}","{'happy': 0.539, 'surprised': 0.697, 'angry': 0.348, 'sad': 0.788}",0.454,0.243,0.348,0.107,0.424,0.624,0.046,1.243,0.539,1.016,0.788,1.153,0.134,0.196,0.724,0.87,0.416,0.539,0.697,0.348,0.788
eZj5n8ScTkI_seg025,3.0,sad,"{'AU01_r': 0.558, 'AU02_r': 0.175, 'AU04_r': 0.588, 'AU05_r': 0.106, 'AU06_r': 0.149, 'AU07_r': 0.183, 'AU09_r': 0.158, 'AU10_r': 0.546, 'AU12_r': 0.241, 'AU14_r': 0.223, 'AU15_r': 1.37, 'AU17_r': 1.555, 'AU20_r': 0.253, 'AU23_r': 0.328, 'AU25_r': 1.195, 'AU26_r': 1.309, 'AU45_r': 0.334}","{'happy': 0.241, 'surprised': 0.733, 'angry': 0.588, 'sad': 1.37}",0.558,0.175,0.588,0.106,0.149,0.183,0.158,0.546,0.241,0.223,1.37,1.555,0.253,0.328,1.195,1.309,0.334,0.241,0.733,0.588,1.37
eZj5n8ScTkI_seg026,3.0,angry,"{'AU01_r': 0.253, 'AU02_r': 0.193, 'AU04_r': 0.577, 'AU05_r': 0.103, 'AU06_r': 0.298, 'AU07_r': 0.633, 'AU09_r': 0.158, 'AU10_r': 0.889, 'AU12_r': 0.355, 'AU14_r': 0.587, 'AU15_r': 0.422, 'AU17_r': 0.809, 'AU20_r': 0.121, 'AU23_r': 0.282, 'AU25_r': 0.801, 'AU26_r': 0.61, 'AU45_r': 0.191}","{'happy': 0.355, 'surprised': 0.446, 'angry': 0.577, 'sad': 0.422}",0.253,0.193,0.577,0.103,0.298,0.633,0.158,0.889,0.355,0.587,0.422,0.809,0.121,0.282,0.801,0.61,0.191,0.355,0.446,0.577,0.422
eZj5n8ScTkI_seg027,3.0,sad,"{'AU01_r': 0.49, 'AU02_r': 0.224, 'AU04_r': 0.755, 'AU05_r': 0.132, 'AU06_r': 0.261, 'AU07_r': 0.747, 'AU09_r': 0.148, 'AU10_r': 0.759, 'AU12_r': 0.331, 'AU14_r': 0.433, 'AU15_r': 1.746, 'AU17_r': 2.041, 'AU20_r': 0.244, 'AU23_r': 0.198, 'AU25_r': 0.893, 'AU26_r': 1.366, 'AU45_r': 0.438}","{'happy': 0.331, 'surprised': 0.715, 'angry': 0.755, 'sad': 1.746}",0.49,0.224,0.755,0.132,0.261,0.747,0.148,0.759,0.331,0.433,1.746,2.041,0.244,0.198,0.893,1.366,0.438,0.331,0.715,0.755,1.746
eZj5n8ScTkI_seg028,2.0,surprised,"{'AU01_r': 0.738, 'AU02_r': 0.242, 'AU04_r': 0.429, 'AU05_r': 0.077, 'AU06_r': 0.603, 'AU07_r': 1.029, 'AU09_r': 0.056, 'AU10_r': 1.656, 'AU12_r': 0.481, 'AU14_r': 1.029, 'AU15_r': 0.939, 'AU17_r': 0.801, 'AU20_r': 0.189, 'AU23_r': 0.283, 'AU25_r': 0.555, 'AU26_r': 0.694, 'AU45_r': 0.306}","{'happy': 0.481, 'surprised': 0.98, 'angry': 0.429, 'sad': 0.939}",0.738,0.242,0.429,0.077,0.603,1.029,0.056,1.656,0.481,1.029,0.939,0.801,0.189,0.283,0.555,0.694,0.306,0.481,0.98,0.429,0.939
eZj5n8ScTkI_seg029,3.0,surprised,"{'AU01_r': 0.399, 'AU02_r': 0.065, 'AU04_r': 0.333, 'AU05_r': 0.044, 'AU06_r': 0.116, 'AU07_r': 0.096, 'AU09_r': 0.099, 'AU10_r': 0.408, 'AU12_r': 0.208, 'AU14_r': 0.121, 'AU15_r': 0.286, 'AU17_r': 0.717, 'AU20_r': 0.14, 'AU23_r': 0.138, 'AU25_r': 0.551, 'AU26_r': 0.365, 'AU45_r': 0.147}","{'happy': 0.208, 'surprised': 0.464, 'angry': 0.333, 'sad': 0.286}",0.399,0.065,0.333,0.044,0.116,0.096,0.099,0.408,0.208,0.121,0.286,0.717,0.14,0.138,0.551,0.365,0.147,0.208,0.464,0.333,0.286
guXxy8LH2QM_seg000,4.0,happy,"{'AU01_r': 0.265, 'AU02_r': 0.096, 'AU04_r': 0.012, 'AU05_r': 0.064, 'AU06_r': 0.419, 'AU07_r': 0.486, 'AU09_r': 0.101, 'AU10_r': 0.597, 'AU12_r': 0.763, 'AU14_r': 0.364, 'AU15_r': 0.303, 'AU17_r': 0.788, 'AU20_r': 0.14, 'AU23_r': 0.375, 'AU25_r': 0.598, 'AU26_r': 0.873, 'AU45_r': 0.156}","{'happy': 0.763, 'surprised': 0.361, 'angry': 0.012, 'sad': 0.303}",0.265,0.096,0.012,0.064,0.419,0.486,0.101,0.597,0.763,0.364,0.303,0.788,0.14,0.375,0.598,0.873,0.156,0.763,0.361,0.012,0.303
guXxy8LH2QM_seg001,3.0,surprised,"{'AU01_r': 0.34, 'AU02_r': 0.065, 'AU04_r': 0.028, 'AU05_r': 0.047, 'AU06_r': 0.027, 'AU07_r': 0.143, 'AU09_r': 0.044, 'AU10_r': 0.267, 'AU12_r': 0.206, 'AU14_r': 0.145, 'AU15_r': 0.072, 'AU17_r': 0.586, 'AU20_r': 0.076, 'AU23_r': 0.359, 'AU25_r': 0.614, 'AU26_r': 1.048, 'AU45_r': 0.085}","{'happy': 0.206, 'surprised': 0.405, 'angry': 0.028, 'sad': 0.072}",0.34,0.065,0.028,0.047,0.027,0.143,0.044,0.267,0.206,0.145,0.072,0.586,0.076,0.359,0.614,1.048,0.085,0.206,0.405,0.028,0.072
guXxy8LH2QM_seg002,2.0,happy,"{'AU01_r': 0.548, 'AU02_r': 0.14, 'AU04_r': 0.1, 'AU05_r': 0.076, 'AU06_r': 0.355, 'AU07_r': 0.444, 'AU09_r': 0.098, 'AU10_r': 0.987, 'AU12_r': 0.796, 'AU14_r': 0.255, 'AU15_r': 0.177, 'AU17_r': 0.568, 'AU20_r': 0.138, 'AU23_r': 0.155, 'AU25_r': 0.698, 'AU26_r': 1.364, 'AU45_r': 0.232}","{'happy': 0.796, 'surprised': 0.688, 'angry': 0.1, 'sad': 0.177}",0.548,0.14,0.1,0.076,0.355,0.444,0.098,0.987,0.796,0.255,0.177,0.568,0.138,0.155,0.698,1.364,0.232,0.796,0.688,0.1,0.177
guXxy8LH2QM_seg003,3.0,happy,"{'AU01_r': 0.374, 'AU02_r': 0.108, 'AU04_r': 0.118, 'AU05_r': 0.064, 'AU06_r': 0.263, 'AU07_r': 0.376, 'AU09_r': 0.145, 'AU10_r': 0.453, 'AU12_r': 0.538, 'AU14_r': 0.134, 'AU15_r': 0.2, 'AU17_r': 0.931, 'AU20_r': 0.154, 'AU23_r': 0.447, 'AU25_r': 0.74, 'AU26_r': 1.061, 'AU45_r': 0.232}","{'happy': 0.538, 'surprised': 0.482, 'angry': 0.118, 'sad': 0.2}",0.374,0.108,0.118,0.064,0.263,0.376,0.145,0.453,0.538,0.134,0.2,0.931,0.154,0.447,0.74,1.061,0.232,0.538,0.482,0.118,0.2
guXxy8LH2QM_seg004,4.0,surprised,"{'AU01_r': 0.608, 'AU02_r': 0.261, 'AU04_r': 0.289, 'AU05_r': 0.093, 'AU06_r': 0.208, 'AU07_r': 0.371, 'AU09_r': 0.113, 'AU10_r': 1.085, 'AU12_r': 0.822, 'AU14_r': 0.08, 'AU15_r': 0.207, 'AU17_r': 0.845, 'AU20_r': 0.245, 'AU23_r': 0.302, 'AU25_r': 0.696, 'AU26_r': 1.052, 'AU45_r': 0.194}","{'happy': 0.822, 'surprised': 0.869, 'angry': 0.289, 'sad': 0.207}",0.608,0.261,0.289,0.093,0.208,0.371,0.113,1.085,0.822,0.08,0.207,0.845,0.245,0.302,0.696,1.052,0.194,0.822,0.869,0.289,0.207
guXxy8LH2QM_seg005,3.0,happy,"{'AU01_r': 0.303, 'AU02_r': 0.081, 'AU04_r': 0.089, 'AU05_r': 0.062, 'AU06_r': 0.125, 'AU07_r': 0.248, 'AU09_r': 0.081, 'AU10_r': 0.402, 'AU12_r': 0.484, 'AU14_r': 0.113, 'AU15_r': 0.153, 'AU17_r': 0.47, 'AU20_r': 0.125, 'AU23_r': 0.135, 'AU25_r': 0.444, 'AU26_r': 0.733, 'AU45_r': 0.173}","{'happy': 0.484, 'surprised': 0.385, 'angry': 0.089, 'sad': 0.153}",0.303,0.081,0.089,0.062,0.125,0.248,0.081,0.402,0.484,0.113,0.153,0.47,0.125,0.135,0.444,0.733,0.173,0.484,0.385,0.089,0.153
guXxy8LH2QM_seg006,3.0,surprised,"{'AU01_r': 0.285, 'AU02_r': 0.168, 'AU04_r': 0.235, 'AU05_r': 0.049, 'AU06_r': 0.031, 'AU07_r': 0.258, 'AU09_r': 0.082, 'AU10_r': 0.516, 'AU12_r': 0.339, 'AU14_r': 0.23, 'AU15_r': 0.131, 'AU17_r': 0.672, 'AU20_r': 0.123, 'AU23_r': 0.125, 'AU25_r': 0.468, 'AU26_r': 0.854, 'AU45_r': 0.161}","{'happy': 0.339, 'surprised': 0.453, 'angry': 0.235, 'sad': 0.131}",0.285,0.168,0.235,0.049,0.031,0.258,0.082,0.516,0.339,0.23,0.131,0.672,0.123,0.125,0.468,0.854,0.161,0.339,0.453,0.235,0.131
guXxy8LH2QM_seg007,2.0,happy,"{'AU01_r': 0.3, 'AU02_r': 0.102, 'AU04_r': 0.158, 'AU05_r': 0.072, 'AU06_r': 0.144, 'AU07_r': 0.546, 'AU09_r': 0.086, 'AU10_r': 0.32, 'AU12_r': 0.462, 'AU14_r': 0.239, 'AU15_r': 0.319, 'AU17_r': 1.033, 'AU20_r': 0.156, 'AU23_r': 0.174, 'AU25_r': 0.572, 'AU26_r': 0.631, 'AU45_r': 0.205}","{'happy': 0.462, 'surprised': 0.402, 'angry': 0.158, 'sad': 0.319}",0.3,0.102,0.158,0.072,0.144,0.546,0.086,0.32,0.462,0.239,0.319,1.033,0.156,0.174,0.572,0.631,0.205,0.462,0.402,0.158,0.319
guXxy8LH2QM_seg008,3.0,happy,"{'AU01_r': 0.232, 'AU02_r': 0.091, 'AU04_r': 0.083, 'AU05_r': 0.061, 'AU06_r': 0.309, 'AU07_r': 0.382, 'AU09_r': 0.064, 'AU10_r': 0.715, 'AU12_r': 0.708, 'AU14_r': 0.288, 'AU15_r': 0.101, 'AU17_r': 0.773, 'AU20_r': 0.107, 'AU23_r': 0.319, 'AU25_r': 0.505, 'AU26_r': 1.103, 'AU45_r': 0.213}","{'happy': 0.708, 'surprised': 0.323, 'angry': 0.083, 'sad': 0.101}",0.232,0.091,0.083,0.061,0.309,0.382,0.064,0.715,0.708,0.288,0.101,0.773,0.107,0.319,0.505,1.103,0.213,0.708,0.323,0.083,0.101
guXxy8LH2QM_seg009,3.0,happy,"{'AU01_r': 0.266, 'AU02_r': 0.093, 'AU04_r': 0.092, 'AU05_r': 0.077, 'AU06_r': 0.409, 'AU07_r': 0.762, 'AU09_r': 0.072, 'AU10_r': 0.959, 'AU12_r': 0.871, 'AU14_r': 0.473, 'AU15_r': 0.196, 'AU17_r': 0.941, 'AU20_r': 0.143, 'AU23_r': 0.24, 'AU25_r': 0.59, 'AU26_r': 1.068, 'AU45_r': 0.174}","{'happy': 0.871, 'surprised': 0.359, 'angry': 0.092, 'sad': 0.196}",0.266,0.093,0.092,0.077,0.409,0.762,0.072,0.959,0.871,0.473,0.196,0.941,0.143,0.24,0.59,1.068,0.174,0.871,0.359,0.092,0.196
guXxy8LH2QM_seg010,4.0,happy,"{'AU01_r': 0.291, 'AU02_r': 0.141, 'AU04_r': 0.073, 'AU05_r': 0.07, 'AU06_r': 0.258, 'AU07_r': 0.425, 'AU09_r': 0.063, 'AU10_r': 0.294, 'AU12_r': 0.481, 'AU14_r': 0.211, 'AU15_r': 0.191, 'AU17_r': 0.789, 'AU20_r': 0.202, 'AU23_r': 0.212, 'AU25_r': 0.643, 'AU26_r': 1.11, 'AU45_r': 0.181}","{'happy': 0.481, 'surprised': 0.432, 'angry': 0.073, 'sad': 0.191}",0.291,0.141,0.073,0.07,0.258,0.425,0.063,0.294,0.481,0.211,0.191,0.789,0.202,0.212,0.643,1.11,0.181,0.481,0.432,0.073,0.191
hJnEQCMA5Sg_seg002,2.0,surprised,"{'AU01_r': 0.601, 'AU02_r': 0.15, 'AU04_r': 0.002, 'AU05_r': 0.061, 'AU06_r': 0.13, 'AU07_r': 0.715, 'AU09_r': 0.097, 'AU10_r': 0.124, 'AU12_r': 0.738, 'AU14_r': 0.133, 'AU15_r': 0.163, 'AU17_r': 0.529, 'AU20_r': 0.134, 'AU23_r': 0.201, 'AU25_r': 0.978, 'AU26_r': 0.739, 'AU45_r': 0.504}","{'happy': 0.738, 'surprised': 0.751, 'angry': 0.002, 'sad': 0.163}",0.601,0.15,0.002,0.061,0.13,0.715,0.097,0.124,0.738,0.133,0.163,0.529,0.134,0.201,0.978,0.739,0.504,0.738,0.751,0.002,0.163
hJnEQCMA5Sg_seg004,3.0,surprised,"{'AU01_r': 0.216, 'AU02_r': 0.097, 'AU04_r': 0.007, 'AU05_r': 0.042, 'AU06_r': 0.048, 'AU07_r': 0.455, 'AU09_r': 0.093, 'AU10_r': 0.032, 'AU12_r': 0.154, 'AU14_r': 0.036, 'AU15_r': 0.116, 'AU17_r': 0.516, 'AU20_r': 0.106, 'AU23_r': 0.146, 'AU25_r': 0.783, 'AU26_r': 0.516, 'AU45_r': 0.265}","{'happy': 0.154, 'surprised': 0.313, 'angry': 0.007, 'sad': 0.116}",0.216,0.097,0.007,0.042,0.048,0.455,0.093,0.032,0.154,0.036,0.116,0.516,0.106,0.146,0.783,0.516,0.265,0.154,0.313,0.007,0.116
hJnEQCMA5Sg_seg005,3.0,surprised,"{'AU01_r': 0.572, 'AU02_r': 0.225, 'AU04_r': 0.019, 'AU05_r': 0.079, 'AU06_r': 0.191, 'AU07_r': 0.63, 'AU09_r': 0.111, 'AU10_r': 0.144, 'AU12_r': 0.655, 'AU14_r': 0.099, 'AU15_r': 0.151, 'AU17_r': 0.572, 'AU20_r': 0.125, 'AU23_r': 0.142, 'AU25_r': 0.904, 'AU26_r': 0.696, 'AU45_r': 0.367}","{'happy': 0.655, 'surprised': 0.798, 'angry': 0.019, 'sad': 0.151}",0.572,0.225,0.019,0.079,0.191,0.63,0.111,0.144,0.655,0.099,0.151,0.572,0.125,0.142,0.904,0.696,0.367,0.655,0.798,0.019,0.151
hJnEQCMA5Sg_seg006,2.0,surprised,"{'AU01_r': 0.228, 'AU02_r': 0.095, 'AU04_r': 0.044, 'AU05_r': 0.049, 'AU06_r': 0.12, 'AU07_r': 0.595, 'AU09_r': 0.085, 'AU10_r': 0.11, 'AU12_r': 0.261, 'AU14_r': 0.091, 'AU15_r': 0.133, 'AU17_r': 0.479, 'AU20_r': 0.108, 'AU23_r': 0.132, 'AU25_r': 0.75, 'AU26_r': 0.522, 'AU45_r': 0.286}","{'happy': 0.261, 'surprised': 0.322, 'angry': 0.044, 'sad': 0.133}",0.228,0.095,0.044,0.049,0.12,0.595,0.085,0.11,0.261,0.091,0.133,0.479,0.108,0.132,0.75,0.522,0.286,0.261,0.322,0.044,0.133
hJnEQCMA5Sg_seg007,2.0,surprised,"{'AU01_r': 0.492, 'AU02_r': 0.223, 'AU04_r': 0.147, 'AU05_r': 0.076, 'AU06_r': 0.05, 'AU07_r': 0.34, 'AU09_r': 0.132, 'AU10_r': 0.097, 'AU12_r': 0.162, 'AU14_r': 0.154, 'AU15_r': 0.176, 'AU17_r': 0.62, 'AU20_r': 0.203, 'AU23_r': 0.158, 'AU25_r': 0.798, 'AU26_r': 0.657, 'AU45_r': 0.186}","{'happy': 0.162, 'surprised': 0.715, 'angry': 0.147, 'sad': 0.176}",0.492,0.223,0.147,0.076,0.05,0.34,0.132,0.097,0.162,0.154,0.176,0.62,0.203,0.158,0.798,0.657,0.186,0.162,0.715,0.147,0.176
hJnEQCMA5Sg_seg010,3.0,happy,"{'AU01_r': 0.387, 'AU02_r': 0.125, 'AU04_r': 0.018, 'AU05_r': 0.078, 'AU06_r': 0.205, 'AU07_r': 0.597, 'AU09_r': 0.11, 'AU10_r': 0.148, 'AU12_r': 0.726, 'AU14_r': 0.083, 'AU15_r': 0.224, 'AU17_r': 0.588, 'AU20_r': 0.109, 'AU23_r': 0.16, 'AU25_r': 0.836, 'AU26_r': 0.614, 'AU45_r': 0.363}","{'happy': 0.726, 'surprised': 0.512, 'angry': 0.018, 'sad': 0.224}",0.387,0.125,0.018,0.078,0.205,0.597,0.11,0.148,0.726,0.083,0.224,0.588,0.109,0.16,0.836,0.614,0.363,0.726,0.512,0.018,0.224
hJnEQCMA5Sg_seg011,3.0,happy,"{'AU01_r': 0.348, 'AU02_r': 0.105, 'AU04_r': 0.0, 'AU05_r': 0.064, 'AU06_r': 0.115, 'AU07_r': 0.376, 'AU09_r': 0.049, 'AU10_r': 0.069, 'AU12_r': 0.505, 'AU14_r': 0.076, 'AU15_r': 0.091, 'AU17_r': 0.358, 'AU20_r': 0.116, 'AU23_r': 0.137, 'AU25_r': 0.432, 'AU26_r': 0.409, 'AU45_r': 0.25}","{'happy': 0.505, 'surprised': 0.453, 'angry': 0.0, 'sad': 0.091}",0.348,0.105,0.0,0.064,0.115,0.376,0.049,0.069,0.505,0.076,0.091,0.358,0.116,0.137,0.432,0.409,0.25,0.505,0.453,0.0,0.091
hJnEQCMA5Sg_seg012,3.0,surprised,"{'AU01_r': 0.252, 'AU02_r': 0.115, 'AU04_r': 0.018, 'AU05_r': 0.064, 'AU06_r': 0.053, 'AU07_r': 0.325, 'AU09_r': 0.056, 'AU10_r': 0.063, 'AU12_r': 0.241, 'AU14_r': 0.071, 'AU15_r': 0.118, 'AU17_r': 0.269, 'AU20_r': 0.073, 'AU23_r': 0.078, 'AU25_r': 0.482, 'AU26_r': 0.425, 'AU45_r': 0.173}","{'happy': 0.241, 'surprised': 0.367, 'angry': 0.018, 'sad': 0.118}",0.252,0.115,0.018,0.064,0.053,0.325,0.056,0.063,0.241,0.071,0.118,0.269,0.073,0.078,0.482,0.425,0.173,0.241,0.367,0.018,0.118
